WTIO,SETIO,DMI,ONI,ENSO,SOI,D20_SCTR
-0.19,-0.67,0.48,-0.61,La Nina,0.6,72.5182626608746
-0.0,-0.8,0.8,-0.37,Neutral,0.3,80.62956541712832
-0.04,-0.46,0.42,-0.23,Neutral,1.0,83.26773546123668
-0.03,-0.09,0.06,-0.24,Neutral,1.2,83.7844221832683
-0.1,-0.13,0.03,-0.35,Neutral,1.3,83.41862528674491
-0.19,-0.02,-0.17,-0.55,Neutral,1.3,59.4577374276322
-0.27,-0.01,-0.26,-0.73,Neutral,1.4,57.0547355471745
-0.14,-0.02,-0.12,-0.85,Neutral,1.1,60.41995148339473
0.02,-0.29,0.31,-0.79,Neutral,1.9,68.31756719012647
0.21,-0.17,0.38,-0.61,La Nina,0.4,70.8517120302973
-0.08,-0.04,-0.04,-0.33,Neutral,0.8,73.982172739514
0.1,0.23,-0.13,0.01,Neutral,-0.1,66.11832377943485
0.41,0.41,0.0,0.28,Neutral,0.1,66.8075205263668
0.13,0.65,-0.52,0.45,Neutral,0.2,78.24601861129263
0.26,0.56,-0.3,0.58,Neutral,-0.2,87.7109120549942
0.24,0.41,-0.1699999999999999,0.71,Neutral,0.3,93.52912212900746
0.34,0.44,-0.0999999999999999,1.01,Neutral,-1.2,88.41269030069738
0.09,0.35,-0.26,1.36,Neutral,-0.6,75.7774835976579
0.45,0.31,0.14,1.56,El Nino,-0.7,68.91054593137935
0.47,0.05,0.42,1.5,El Nino,-1.1,76.324704388099
0.6,0.43,0.1699999999999999,1.22,El Nino,-1.5,86.36139546848854
0.62,0.27,0.35,0.84,El Nino,-0.7,79.99883603968767
0.6,0.17,0.4299999999999999,0.35,Neutral,1.2,73.28822531748057
0.26,0.47,-0.2099999999999999,-0.17,Neutral,0.9,71.2704974248097
0.32,0.46,-0.14,-0.66,Neutral,0.4,78.66139013362947
0.23,0.39,-0.16,-1.05,Neutral,1.8,82.3572412674023
0.0,0.35,-0.35,-1.35,Neutral,1.8,86.27856953959913
-0.21,0.95,-1.16,-1.56,Neutral,2.2,87.64318521538586
-0.44,0.62,-1.06,-1.64,La Nina,1.7,85.53320416121109
-0.63,0.36,-0.99,-1.64,La Nina,1.3,71.98767976415898
-0.52,-0.13,-0.39,-1.59,La Nina,2.9,62.80011088587915
-0.48,-0.43,-0.0499999999999999,-1.42,La Nina,2.3,56.57639836418746
-0.37,-0.34,-0.0299999999999999,-1.19,La Nina,2.7,71.85026541299956
-0.24,-0.41,0.1699999999999999,-0.93,La Nina,2.5,78.23019587572861
-0.25,-0.26,0.01,-0.73,La Nina,1.9,71.58278073058395
-0.19,-0.08,-0.11,-0.55,La Nina,0.4,69.393609654839
0.09,0.03,0.06,-0.44,Neutral,0.2,82.49793831370927
0.12,0.16,-0.04,-0.48,Neutral,1.0,87.4798475158771
0.16,0.13,0.03,-0.62,Neutral,0.4,98.45174047008082
0.09,-0.27,0.36,-0.83,Neutral,1.0,102.107237410684
0.25,-0.21,0.4599999999999999,-1.01,Neutral,0.8,94.37791325021254
0.22,0.19,0.03,-1.09,Neutral,1.1,86.63855186501115
0.3,0.21,0.09,-1.04,La Nina,2.5,78.54457731905232
0.0,-0.09,0.09,-0.86,La Nina,1.1,78.03191587145658
-0.22,-0.14,-0.0799999999999999,-0.72,La Nina,0.5,87.52655180686412
-0.46,-0.65,0.19,-0.59,La Nina,0.7,89.38998164961386
-0.26,0.18,-0.44,-0.47,Neutral,-0.3,83.7504101626747
-0.09,0.6,-0.69,-0.26,Neutral,0.0,74.54322038767667
0.12,0.12,0.0,-0.01,Neutral,-0.4,68.9600559804181
0.18,-0.34,0.52,0.25,Neutral,-0.0,76.75452053306276
0.47,-0.34,0.81,0.37,Neutral,-0.2,86.71130029050913
0.38,-0.14,0.52,0.37,Neutral,0.2,88.29047049204311
0.31,0.01,0.3,0.27,Neutral,0.3,85.39285916827389
0.23,0.18,0.05,0.05,Neutral,0.3,73.92397432999266
0.4,0.32,0.08,-0.21,Neutral,-0.6,69.0814047512925
0.23,0.16,0.07,-0.43,Neutral,-0.1,69.48755611720387
0.11,0.2,-0.09,-0.43,Neutral,-0.2,78.21339023885791
0.23,0.26,-0.03,-0.34,Neutral,1.5,81.40854317470759
0.06,0.22,-0.16,-0.3,Neutral,0.2,78.6261116969446
-0.32,0.3,-0.62,-0.36,Neutral,0.8,66.63443827879532
-0.38,0.13,-0.51,-0.41,Neutral,1.2,64.80841253639738
-0.16,0.19,-0.35,-0.4,Neutral,0.8,71.44066050169229
-0.14,0.07,-0.21,-0.32,Neutral,0.2,81.95652124032263
-0.13,0.21,-0.3399999999999999,-0.26,Neutral,0.3,88.78005733675886
0.17,0.39,-0.22,-0.18,Neutral,-0.1,83.52178384712332
0.39,0.45,-0.06,-0.17,Neutral,0.7,81.70187282277978
0.03,0.28,-0.25,-0.27,Neutral,0.1,71.86764034536613
-0.06,0.09,-0.15,-0.42,Neutral,1.4,68.67557861488746
-0.11,-0.04,-0.07,-0.46,Neutral,0.1,87.71817105976278
-0.1,0.34,-0.44,-0.27,Neutral,-0.9,97.92522272151972
-0.0,0.18,-0.18,0.04,Neutral,0.8,90.55571203089332
0.2,0.28,-0.08,0.21,Neutral,0.5,77.24403334935346
0.15,0.39,-0.24,0.16,Neutral,0.2,71.41188510257088
0.02,0.42,-0.3999999999999999,0.05,Neutral,-0.2,71.92065359288233
-0.03,0.54,-0.5700000000000001,0.07,Neutral,-0.7,80.6378674082044
0.06,0.56,-0.5,0.23,Neutral,-0.7,94.14260974017289
0.31,0.32,-0.01,0.49,Neutral,-0.6,93.94424015297108
0.33,0.24,0.09,0.64,Neutral,-0.9,83.68107793752164
0.13,0.34,-0.21,0.66,Neutral,-0.6,75.50758571346576
-0.33,0.03,-0.36,0.55,Neutral,-0.8,73.55975101581633
-0.13,0.16,-0.29,0.47,Neutral,0.2,94.2673654476292
0.18,0.23,-0.05,0.53,Neutral,-0.7,100.62971999642043
0.36,0.2,0.1599999999999999,0.7,Neutral,-0.0,104.23043321411802
0.36,0.18,0.18,0.93,Neutral,-0.7,93.32904753376916
0.48,0.16,0.3199999999999999,1.18,Neutral,-0.6,81.089897069866
0.69,0.23,0.4599999999999999,1.52,El Nino,-1.1,84.69473779518033
0.87,0.36,0.51,1.86,El Nino,-1.4,96.5624551424756
0.95,0.23,0.72,2.16,El Nino,-1.6,100.9233059259379
0.91,0.4,0.51,2.42,El Nino,-1.7,94.53471115429136
0.86,0.42,0.44,2.57,El Nino,-0.5,92.5842185043873
0.9,0.86,0.04,2.64,El Nino,-0.6,91.6200436060454
0.86,1.08,-0.22,2.48,El Nino,-2.2,92.98542261127204
0.56,0.96,-0.3999999999999999,2.14,El Nino,-2.0,108.76194400471014
0.92,1.16,-0.2399999999999998,1.58,El Nino,-0.1,106.38615842425088
0.85,1.06,-0.21,0.94,El Nino,-1.2,101.89691029130364
0.39,0.92,-0.53,0.39,Neutral,0.4,86.52824119095582
-0.05,0.72,-0.77,-0.07,Neutral,0.6,66.22708343246596
-0.28,0.8,-1.08,-0.36,Neutral,0.4,63.95112706869892
0.16,0.74,-0.58,-0.54,Neutral,0.7,78.11228092360719
-0.07,0.88,-0.95,-0.63,Neutral,1.2,82.00156587617924
-0.07,0.77,-0.8400000000000001,-0.69,Neutral,-0.3,83.91996643716044
0.09,0.55,-0.4600000000000001,-0.67,Neutral,-0.1,76.04925807769533
0.1,0.38,-0.28,-0.56,La Nina,0.3,72.49705164337503
0.0,-0.0,0.0,-0.34,Neutral,0.2,64.37914071128213
