Date,D20_SCTR
2006-07-01,73.5620792336092
2006-08-01,86.23141197142647
2006-09-01,86.08863721934142
2006-10-01,85.17487169987194
2006-11-01,88.95902602104381
2006-12-01,99.63414415839526
2007-01-01,103.78252084124503
2007-02-01,107.3109949968525
2007-03-01,112.3627348719056
2007-04-01,99.74521654982057
2007-05-01,88.96144796644839
2007-06-01,84.3551870499106
2007-07-01,84.26311979663946
2007-08-01,88.9459766960747
2007-09-01,93.64224098428028
2007-10-01,90.21628601620412
2007-11-01,79.54867640082678
2007-12-01,68.00762837080521
2008-01-01,70.39227044668613
2008-02-01,74.55066697798749
2008-03-01,68.41307854970088
2008-04-01,62.13576600754879
2008-05-01,61.838573881102626
2008-06-01,72.5182626608746
2008-07-01,80.62956541712832
2008-08-01,83.26773546123668
